time,phi,theta,object_id,FILE
0.0,0.3490658503988659,1.2217304763960306,p,182050722870506734344023454893634126794.h5
0.0,1.3962634015954636,1.2217304763960306,p,220667591069897765668081806367212111649.h5
0.0,2.443460952792061,1.2217304763960306,p,29273472659500642494582167049416926235.h5
0.0,3.490658503988659,1.2217304763960306,p,229198807011519326283950167210886727786.h5
0.0,4.537856055185257,1.2217304763960306,p,175904291638529374689820288199947402600.h5
0.0,5.585053606381854,1.2217304763960306,p,235650973417111775340638449475403137706.h5
0.0,0.3490658503988659,1.2217304763960306,s0,192015661830683858618546947034098651707.h5
0.0,1.3962634015954636,1.2217304763960306,s0,196387540241547802496974448981421838365.h5
0.0,2.443460952792061,1.2217304763960306,s0,119145672877009657908404271493921942373.h5
0.0,3.490658503988659,1.2217304763960306,s0,241981441983502498037994532741269959347.h5
0.0,4.537856055185257,1.2217304763960306,s0,168189973815497053558883361914808920950.h5
0.0,5.585053606381854,1.2217304763960306,s0,250856689332565787865242270415571303468.h5
0.0,0.3490658503988659,1.2217304763960306,s1,138243974323064589931050604351043150424.h5
0.0,1.3962634015954636,1.2217304763960306,s1,166680692458832848810664249034039654409.h5
0.0,2.443460952792061,1.2217304763960306,s1,159438490967140235905540082986982741926.h5
0.0,3.490658503988659,1.2217304763960306,s1,272393387205891285594636250326815783371.h5
0.0,4.537856055185257,1.2217304763960306,s1,215901763034847527079078383158873214690.h5
0.0,5.585053606381854,1.2217304763960306,s1,112112622420152090577062604443478251610.h5
